Id,Comments
@user-zz8zh7ve3b,"이게 왜 조회수가 215만 밖에 안되지ㅜ 훨 더 높을 줄 알았는데ㅜ 더 유명해져서 해외에도 소문났음 좋겠다 ㄹㅇ한국에서 첨 듣는 음색.,.소둥해,"
@user-ne8py5eg4u,목소리가 정말 그냥 말로 이룰 수 없을정도로 빛난다...? 멋지다...? 뭐라고 해야할지는 모르겠는데 목소리에 사람들의 마음을 울리는 힘이 있는거 같네요
@user-tx3qr2li7h,잔나비만의 특별한 감성이 잘산것같아요ㅠㅠ 대박
@user-ty1de5te1j,진짜 노래로는 깔 게 없는 가수다...무대매너가 진짜 좋다 잔나비는
@user-no1ff5iw7x,아니 와 이거는 진짜 볼때마다 소름돋네........ 연출력 해석력? 엄청나다 완전 그냥 찰떡이다찰떡 와...... 아니 와.....와진짴ㅋㅋㅋㅋㅋㅋ 와 ㄷㄷ
@user-jx4cw3jg8g,진짜 이건 맨날 들어도 안질린다
@user-uq9fm5qf6r,첫소절부터 소름이... 원곡과 다른 이 느낌 너무 좋다.
@user-ke6dx7dj3o,여러분 이 댓글이 묻히겠지만 조금이라도 희망을 가지고 말해보자면 혹시 이 영상으로 잔나비의 숨겨진 띵곡이 궁금하시다면 꼭 '전설'을 들어주세요 정말 몽환적이고 아름다운 노래에요ㅠㅜㅜ
@user-ko2on7nm7l,오ㅐ 아직도 발음 얘기를 .. 나는 노래 부를 때 잔나비 보컬 특유의 발음 좋던데 본인도 옛 한국스러운 콩글리쉬 처럼 들리는 영어 발음이 재밌어서 그렇게 부른다고 했는데 게다가 보컬 영어 잘하잖아.. 경희대고 몇 영상들 보면 말 할 때 영어 발음 좋은데 노래 부를 때만 저렇게 발음 하던데 본인 색깔 있어서 좋은데 난
@user-lg4eu9nk8j,TV로 이 무대 처음 봤을때 저도 모르게 눈물이 났어요. 과거의 영광을 회상하는 쓸쓸함.. 그런게 넘 느껴지더라구요. 저한텐 원곡보다 더 좋네요! 얼른 코로나가 잠잠해져서 잔나비 실제공연 보고싶어요ㅜㅜ
@user-yk5ks4sb2j,"아침에 눈 뜨자마자 듣고ㅠ 시도때도 없이 듣는다,, 미쳤어 진짜 잔나비는 한번 빠지면 나오는 출구가 없음,, 다들 각오하고 들으세요..ㅎㅎ"
@user-jx2mj4hg3w,진정으로 음악에 취한 가수다...
@user-vh6zk9ow4i,오늘도 출석도장 찍으러 온다.. 진짜 너무 좋음
@user-hh3my1xk6y,진정한 아티스트같다~ 감성과 깊이감 진정성 너무 좋아요
@lottiacue2896,I'm so happy that so many people start interesting on Jannabi. They're deserved that
@Eunbitti,2:25 드럼 가리키는 거 개귀엽네ㅋㅋㅋㅋㅋㅋㅋㅜㅠㅋㅋ
@YothosBlake,Jannabi best group for me ️‍
@user-ox4ft1dq6j,나만 편곡이고 뭐고 ㈐ 좋은거냐? 개좋은대; 처음 볼때ㄹㅇ개소름돋음
@Karats-cx6ys,"원곡은 원곡대로의 웅장함이 있다면, 잔나비의 편곡과 목소리엔 잔나비만의 감동이 있네요."
@hanhan9589,I have waited for Jannabi on TV for a long time. It is surprising that you sing viva la vida again since 2016.
@js-id2pt,입대하기 2일전에 나온노래인데 군대에서 20번도 넘게들은것 같아요 입대전 생각날때면 이영상을 보는것 같아요 노래를 너무잘 표현한 것같아요!!!!
@user-jx5sb3ib4f,잔나비의 강점은 같은노래라도 부를때마다  새롭고 다른맛이 난다는것. 이노래로 버스킹하는 유튭봤는데 그때랑은 확실시 또다르다.  참 매력있는 밴드다 .  최고
@vivalavida497,요즘 가수중에 이런가수가 있었구나  지금껏 몰라봐 미안하다 이제부터라도 팬할께
@user-hs4zj5fu9j,진짜 독보적인 색깔이다 잔나비
@JeJeeun,틈틈이 찾아오는 영상… 몇 번을 넘게 돌려봐도 지겹지가 않네요 잔잔하게 시작해서 사운드를 쌓아올리면서 후반부에 폭발하는 하이라이트까지 전율이 오르네요 진지하게 읊조리다가 웃었다가  관중을 지휘하다가 순간순간 보이는 카리스마 있는 눈빛까지 무대에 흠뻑 빠져있는 모습에 눈을 뗄 수 없게 만드네요 드럼 베이스 기타 소리까지 하 할 말을 잃고 갑니다 오늘은 10번만 더 돌려봐야겠어요
@sunshine_jw4390,와 진짜 듣는내내 소름
@user-jc3gy8mq3c,잔나비목소리랑 그필이 너무좋다  잔나비덕분에 올해 너무좋은노래들음
@bnmy6581i,나라 망한 왕의 해탈한 심정 노래인데 각색으로 이렇게 달라 질수 있네요
@dm562378,역시 음악이라는 예술은 정답이 없다 각자 보고 듣는 사람마다 받는 느낌이 다르기 때문.
@ringjoy609,편곡 대박이다 코로나꺼지면 잔나비 콘서트 각입니다.
@user-yk5ks4sb2j,제발 음원 내주세요. 몇백번이고 듣겠습니다. 음원으로ㅠㅠ 부탁드립니다..
@user-ec5in9vy7l,와 이거 오진다
@user-zo6hx3tl5h,최정훈음색 진짜 고급지고  세련됨  좋아. .
@user-zw5gs9tz8s,이 노래 국내 커버중 원탑
@user-rz3im2vz2l,음원이 간절히 필요함  그리고 잔나비 보컬 최정훈은 목소리 보험 빨리 들어주세요 ㅜㅜ  독보적인 음색 ....쩐다..
@user-in4fb1pc9k,흰수트에 장발에 저 음색에 왜 남잔데 설레지
@emycakes8663,I love how he conducts his hands as if he is doing a really passionate speech
@nurhazirahmazlan1022,Viva la vida original version is already amazing but you brought it to the next level. Great music arrangement!! Kudos Jannabi!
@afrafairuz6074,"watched this performance over a hundred times, never failed to send chills down my spine. This is so powerful man."
@user-ih6du2le5c,미워하는 마음은 가릴 수 없는 게 있지  내 빛나는 음악과 잠 못 들던 밤들
@yatttaaaaa,진짜 이건 주기적으로 들어줘야뎀..
@user-bm2oc6fk1f,오랜만에 생각나서 보러 왔는데 처음 봤을 때 그 소름 그대로다..ㅠ 진짜 잔나비는 영원했으면 좋겠어...ㅠㅠ 이거 보면서 3집 잘 기다리고 있을게요..! 잔나비 언제나 파이팅!!
@user-icedbox,이런게 노래를 잘 한다는 것 같다. 감정 팍팍 들어오네
@user-nu7hm6ht1q,2:00 이부분 미친다 괜히 먹먹해지고 울컥함
@jinnykoh1,진짜 독.보.적 인 잔나비시다ㅠㅠ
@user-vk3ls3kk8w,아 너무 좋다규 ......진짜 보일때마다 들어온다 ..   ..
@user-pc3oy9qt4o,고시원에 살때 잔나비 주저하는연인들을위해 이 노래가 들려오던 기억이 추억처럼 남았는데 지금 다른 노래의 목소리만 들어도 떠오르네...
@soohyunkim3757,발음하나 하나에 영혼이 숨쉰다
@elisabet6233,배철수님의 울컥하는 모습을보니 더 울컥하게 되네요
@musannotre6217,아무리봐도 콜드플레인 남 눈치안보는 부잣집 장남 울아빠같고.. 잔나비는 뭔노래를 불러도 막내 삼촌같음.. 어릴때부터 잘생겨서 속으로 좋아함
@GREKphonics,"I like Coldplay so much and I know there's so many covers for this world famous song. But let me apologize I've never heard so wonderful version like this. Who can imagine the original fast tempo led by powerful drum encounter this dramatic change? So beautifully and lyrically they arranged this song.   What about Choi Jung-hoon's voice and performing manners shown on this stage? I think they’re paralleling with the world top class. Jannabi, they are irresistibly attractive and artistically perfect. Of course I think the time has near to come for the world citizens to pay attention to this great Korean band Jannabi."
@user-br2sp9jf2c,최애곡을 부르는 최애밴드
@user-gs8rf3xc6d,무도가 아직 살아있었다면 가요제 섭외 0순위
@user-lc5wf5rp7d,와 울었어 감동이다
@infromage,"Woah, so much emotion in this song. I've got some goosebumps. They're Jannabi, right? I'm glad that youtube show me them. Such a talented vocalist."
@kyungsuk8641,같은 노래를 전혀 다른 각도에서 해석하고 편곡해서 한 시대를 풍미하고 내려가는 선배에게 바치는 최고의 헌사. . . 배철수님의 먹먹한 표정이 모든걸 말해 주네요
@user-xw1bx1zy2j,이 곡 커버 중 최고다
@user-yg1oe4vz5n,잔나비를 처음 알게된곡인데 이후로 팬이되었네요.
@rinchi3,I seriously love the band Jannabi (he is the singer of the band) his voice it’s just amazing
@user-dj1lg3xb8s,내 가슴 속 안에 자유를 얻은 고래 한마리가 헤엄치는 이 웅장한 기분...잔나비 최고다 진심
@rowenaemia8941,Best cover I ve heard..truly talented artist Jannabi...I am your biggest fan now
@user-kx2co2ng7h,진심 대단하네  한국 밴드의 수준이 후덜덜 잔나비보다 이 곡 멋있게 할수 있는 밴드 나오라그래
@EastSeaPajeon,머리스타일 때문에 노쇠한 사자왕이 젊은 사자한테 왕자리 뺏기는 느낌임ㅋㅋㅋㅋㅋㅋㅋㅠㅠㅠㅠ
